,name,year,engine,transmission,fuel,ownership,distance_travelled,Price
1165, Hyundai GRAND I10 NIOS,2022,ASTA 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,4156,793000
1166, Maruti Alto K10,2016,VXI AMT,Automatic,Petrol,1st Owner,67133,370000
1167, Hyundai Creta,2016,SX PLUS 1.6 PETROL,Manual,Petrol,1st Owner,103177,882000
1168, Toyota URBAN CRUISER,2022,PREMIUM GRADE AT,Automatic,Petrol,1st Owner,9428,1217000
1169, Ford FREESTYLE,2020,TITANIUM 1.2 PETROL,Manual,Petrol,1st Owner,37077,628000
1170, Maruti Wagon R Stingray,2014,VXI,Manual,Petrol,2nd Owner,74611,371000
1171, Honda Amaze,2016,1.2L I-VTEC VX,Manual,Petrol,2nd Owner,19356,534000
1172, Maruti Ciaz,2020,S 1.5 MT PETROL,Manual,Petrol,1st Owner,19472,1016000
1173, Maruti Dzire,2017,VDI AMT,Automatic,Diesel,1st Owner,67184,652000
1174, Renault TRIBER,2020,RXZ AMT,Automatic,Petrol,1st Owner,42063,700000
1175, Maruti Dzire,2020,ZXI,Manual,Petrol,1st Owner,48492,756000
1176, Maruti Celerio,2018,ZXI AMT (O),Automatic,Petrol,1st Owner,64453,488000
1177, Hyundai Grand i10,2016,ASTA 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,48026,491000
1178, Tata ALTROZ,2022,XZA PLUS,Automatic,Petrol,1st Owner,14257,949000
1179, Tata NEXON,2019,XZA PLUS PETROL,Automatic,Petrol,1st Owner,77243,913000
1180, Maruti Baleno,2017,DELTA CVT PETROL 1.2,Automatic,Petrol,1st Owner,58666,676000
1181, Maruti Swift,2014,VXI,Manual,Petrol,1st Owner,49570,507000
1182, Renault Kwid,2020,RXT 1.0 AMT (O),Automatic,Petrol,1st Owner,37880,547000
1183, Honda Amaze,2020,1.2L I-VTEC VX CVT,Automatic,Petrol,1st Owner,28526,802000
1184, Hyundai Santro Xing,2011,GL PLUS,Manual,Petrol,1st Owner,100954,258000
1185, Hyundai i10,2011,SPORTZ 1.2 AT,Automatic,Petrol,1st Owner,69532,326000
1186, Hyundai Elite i20,2015,ASTA 1.2,Manual,Petrol,1st Owner,59470,604000
1187, Maruti Alto,2019,VXI,Manual,Petrol,2nd Owner,3315,385000
1188, Maruti Swift,2015,VXI,Manual,Petrol,1st Owner,45513,532000
1189, Maruti Swift,2015,VXI,Manual,Petrol,2nd Owner,63231,487000
1190, Maruti Baleno,2020,ALPHA CVT PETROL 1.2,Automatic,Petrol,1st Owner,9724,924000
1191, Hyundai Elite i20,2018,ASTA 1.2 DUAL TONE,Manual,Petrol,1st Owner,55152,710000
1192, Skoda Rapid,2018,STYLE 1.5 TDI,Manual,Diesel,1st Owner,58436,850000
1193, Maruti Swift,2015,VXI,Manual,Petrol,1st Owner,67245,550000
1194, Hyundai Grand i10,2016,ASTA (O) 1.2 KAPPA VTVT,Manual,Petrol,1st Owner,53814,499000
1195, Hyundai i10,2016,MAGNA 1.1,Manual,Petrol,1st Owner,42444,391000
1196, Honda Jazz,2016,1.2L I-VTEC V,Manual,Petrol,3rd Owner,77501,544000
1197, Ford Ecosport,2019,TITANIUM + 1.5L DIESEL,Manual,Diesel,1st Owner,63133,915000
1198, Maruti Swift,2021,VXI,Manual,Petrol,1st Owner,48628,692000
1199, Hyundai i10,2012,SPORTZ 1.2,Manual,Petrol,2nd Owner,73583,312000
1200, Hyundai NEW I20,2020,ASTA (O) 1.5 CRDI MT,Manual,Diesel,1st Owner,34579,1031000
1201, Hyundai i10,2012,MAGNA 1.2,Manual,Petrol,1st Owner,43287,316000
1202, Maruti Vitara Brezza,2017,ZDI,Manual,Diesel,1st Owner,40310,909000
1203, Ford Ecosport,2019,TITANIUM 1.5L SIGNATURE EDITION (SUNROOF) PETROL,Manual,Petrol,2nd Owner,25007,958000
1204, Hyundai Verna,2018,1.6 VTVT SX (O) AT,Automatic,Petrol,2nd Owner,45833,925000
1205, Toyota URBAN CRUISER,2020,PREMIUM GRADE MT DUAL TONE,Manual,Petrol,1st Owner,111712,907000
1206, Renault Kwid,2019,RXT 1.0,Manual,Petrol,2nd Owner,16926,422000
